,Id,Price
0,725,161300.19356793974
1,15856,218607.4592050359
2,5480,203320.6513163946
3,15664,341185.3818177981
4,14275,140223.54734805942
5,7633,197576.6479270229
6,13329,166541.56791716666
7,5502,212477.49777291543
8,4220,303377.167603258
9,11538,215437.38462008588
10,15975,271116.01667587407
11,3310,217135.87535086233
12,9286,150156.26116666186
13,11260,189391.70007792825
14,5214,104931.01861261549
15,11307,182107.56824921578
16,13543,385221.42576705036
17,615,175281.84656346534
18,3495,224605.00909578704
19,2321,244776.8457908836
20,12046,181925.96439199126
21,16688,146371.7718797669
22,12694,228974.77522661988
23,783,156458.6918016642
24,8968,171674.98660206285
25,13454,179877.7340950329
26,12190,267984.3133249251
27,11160,111923.4209366718
28,10291,196117.70830022608
29,891,280209.86038938304
30,2982,180994.11119268578
31,3818,262695.723189845
32,2449,193134.7203042679
33,8317,171483.430957477
34,4922,177601.9101872642
35,1257,241592.2022989082
36,9348,213244.74488353173
37,4176,194414.11597591382
38,10704,176340.22393005443
39,6624,112675.99937182592
40,5428,182009.71766687336
41,12749,179623.4097412294
42,8994,214880.36667069403
43,11513,144316.01588162343
44,3047,187520.067360302
45,9519,210125.28041226527
46,12309,224621.11667753453
47,14081,271741.4152105108
48,8334,250490.83929535068
49,6343,168831.0599905052
50,14788,129878.30239069767
51,15748,405256.1288107447
52,153,249305.19050134238
53,14149,182391.975271077
54,269,200298.51216390787
55,5452,128409.36373712038
56,721,162173.99069015618
57,5079,360958.8075680544
58,2831,121993.82312302558
59,10614,110855.54569395518
60,10131,267689.13491492975
61,9996,298210.6175804659
62,3061,197475.24887178707
63,11733,356183.8887865255
64,3726,259596.47563705256
65,10929,209121.6233538751
66,9011,391132.4028380491
67,16182,287574.84957577346
68,4976,183767.01868150424
69,9897,238648.3995286045
70,1872,149851.7454495084
71,9205,405192.5675830255
72,5403,391636.337208567
73,14074,201546.70057739902
74,6268,152066.98802525844
75,14232,171930.32688056093
76,8532,254218.87991861737
77,7034,324410.601245751
78,6553,479673.9104283032
79,3133,178150.44259916205
80,8596,199673.88131923744
81,12389,246324.80695714473
82,14462,178123.12747797027
83,8860,355104.20678491244
84,8377,294402.9595237642
85,6367,314865.2151582398
86,6917,251934.29997952518
87,4216,189809.38633066684
88,5806,174239.49214859708
89,5438,190203.68304628588
90,6632,195234.2046037097
91,2650,152068.44877416917
92,5396,216008.9599986762
93,4044,149301.45348908383
94,1345,208264.26029531422
95,856,168881.4020569396
96,12791,255511.31808457137
97,12499,217875.91780504628
98,12249,128863.87414212822
99,14641,149819.8171726154
100,1919,164851.247573723
101,7848,198970.32512006152
102,10749,181783.54207986832
103,15554,185338.8629284887
104,15834,191530.07955155167
105,1355,170128.72143301542
106,15451,177322.77498431533
107,12401,212172.45899817947
108,10290,173406.73911039077
109,9462,119167.01907540194
110,3103,236795.91139266785
111,3420,134739.3361037652
112,12262,238459.67793302552
113,5032,130307.4474337568
114,8949,291578.40695619455
115,15567,229231.03590834484
116,16389,164200.0696915893
117,7809,121195.12193988259
118,8990,157534.6065646757
119,16089,245738.7176578202
120,12743,104260.66534680454
121,5132,128321.09094166527
122,1619,269836.4085005508
123,2428,89184.68577963932
124,16741,169943.36272686918
125,13193,232167.33858937048
126,12588,489691.0371395624
127,5067,175868.6189049232
128,14685,128325.87722607568
129,2292,176640.0634023638
130,5746,124286.73069599562
131,12578,163008.26214285466
132,14834,168987.5513518418
133,2147,176242.92541303104
134,8222,129606.15500229495
135,10419,262953.20441352966
136,11492,208650.97870806616
137,3006,206718.69800621492
138,8761,198351.04224085686
139,15371,323570.22483935003
140,16367,161684.68681063515
141,6317,274197.3798569627
142,10878,275342.016019028
143,3895,164148.83421184434
144,8041,161779.78685243864
145,13428,451731.22113366215
146,14669,167420.57825404912
147,1006,179302.29979486187
148,12271,179998.9279983795
149,3764,411923.72964874015
150,7675,193954.20508378174
151,11709,275511.6331825092
152,8629,155269.61994690777
153,1105,385174.26127228694
154,6096,175454.4963432831
155,11727,212273.7218086908
156,5157,187403.28239487016
157,3679,148070.78775465162
158,1755,147850.22469711403
159,7391,158853.74541027262
160,7425,101332.67562922364
161,6882,441940.82970176765
162,10752,367034.5880216526
163,7472,200746.17230088552
164,14320,102570.91629006769
165,9596,160387.2960916599
166,5317,211268.02351725745
167,7378,86576.64435261002
168,16154,183043.72887558327
169,3464,199445.10108656346
170,4197,235477.13233739007
171,9477,120460.02331821213
172,12705,199083.37571483248
173,16426,204512.71159769647
174,1481,67203.01494119683
175,9946,249646.5735608249
176,12025,210733.49907826365
177,5341,244379.46486274188
178,9923,298925.57776017865
179,7953,279908.0056360472
180,11066,271748.67857753776
181,5037,176000.8174466938
182,2509,187239.6223443325
183,4937,324473.917845515
184,12089,397535.5988300748
185,4964,162770.27562984294
186,16500,266786.346355786
187,4625,155732.9217940287
188,2363,400003.71839596896
189,8148,180456.4277230737
190,3804,178964.65722023827
191,4584,164553.5540129647
192,10694,112178.33778721545
193,2691,175176.509854884
194,2983,229857.69915523008
195,13563,344404.4894988604
196,10747,217837.31250830417
197,1721,203442.70698261212
198,2789,272620.7346616151
199,7214,258740.74512274933
200,8659,232977.00018807393
201,5107,313880.07545234234
202,3843,236762.41247394588
203,14610,398445.1877911504
204,15505,173679.52224827532
205,5060,264812.2383220405
206,16055,237087.66921948252
207,14963,190246.6001991121
208,4118,146450.0086290891
