Id,Price
725,162495.45746293102
15856,208601.641818441
5480,360971.102452295
15664,341772.79626811226
14275,145301.27115874997
7633,208648.8343166584
13329,162819.20501101305
5502,228118.65751095844
4220,296308.115515671
11538,213223.61209519673
15975,270837.2015402731
3310,216396.07100072788
9286,150180.01829396284
11260,192505.25883888412
5214,106907.6365208571
11307,187984.008485754
13543,391330.6141301722
615,185576.17284997564
3495,228635.52048021642
2321,232135.48378334902
12046,198957.59997369317
16688,144504.17169481012
12694,231254.8793342897
783,154932.32152261038
8968,166184.51098596197
13454,175771.621544674
12190,270488.03491141455
11160,112571.74113912947
10291,203819.1777630818
891,293924.8134917163
2982,179391.04838775613
3818,280420.3799476726
2449,192070.889829371
8317,169683.84132300722
4922,188688.16225304207
1257,241259.93443352907
9348,211633.11644587287
4176,172055.22694748815
10704,162526.48975805158
6624,114292.87889391366
5428,184565.22108321748
12749,187296.1270805439
8994,232541.14313077505
11513,139369.2168496198
3047,192689.31212030925
9519,202865.15856957104
12309,237853.7383329373
14081,268620.11730955855
8334,259024.46089605885
6343,181601.8072652081
14788,128950.44276147519
15748,388414.18884785066
153,254851.2177619436
14149,185975.68741576417
269,187367.68070377482
5452,132171.745321697
721,168284.94091022166
5079,330791.8907805163
2831,124231.69582190423
10614,114674.81810334075
10131,339840.4713782415
9996,278687.8861684916
3061,192668.7778511668
11733,313124.8138548795
3726,254788.54976411202
10929,219339.92186935872
9011,424271.00672982924
16182,283710.30598723533
4976,167360.15156602472
9897,245643.45689061744
1872,151780.90082835604
9205,423976.816046403
5403,399911.3529741719
14074,230563.97474056517
6268,156032.91908232155
14232,159976.4632380212
8532,225545.56807319884
7034,319383.70863707183
6553,451435.044603446
3133,177466.5486635618
8596,196126.03213062583
12389,256782.60018786247
14462,178344.88947172064
8860,371872.4651324397
8377,283811.34459160356
6367,325456.6473503158
6917,251801.38281818555
4216,191221.29480885365
5806,171645.9888260669
5438,190139.60936914498
6632,203177.06555347942
2650,150953.61287807574
5396,179106.9436903693
4044,149624.93441733444
1345,245631.9056486732
856,186189.20964352135
12791,271883.4957877169
12499,215023.00690303888
12249,128129.78014516608
14641,145372.30311239156
1919,165124.541964169
7848,202383.2865322997
10749,181155.59041919408
15554,174453.98568461946
15834,218045.4738175053
1355,151893.96141517378
15451,173931.55779870713
12401,214788.86557513426
10290,171296.83071377734
9462,117937.83764793082
3103,239222.8269359788
3420,140454.7086077526
12262,238964.442288863
5032,135752.97222965184
8949,312321.9088097051
15567,227281.07128512865
16389,161106.53592011827
7809,89047.61734360369
8990,147020.42058694878
16089,268767.3817917377
12743,102812.01267475451
5132,126041.8992010911
1619,274610.57696892903
2428,71492.45212704815
16741,157127.9571646779
13193,224383.38781564115
12588,527686.84511326
5067,167481.74043372937
14685,126729.54523171013
2292,169585.24869042417
5746,124334.00603987108
12578,158028.77937201608
14834,176578.31488531214
2147,170417.83766961852
8222,128339.99808862449
10419,271860.55083644384
11492,207692.02463346685
3006,218499.96232311058
8761,194766.51039718467
15371,336259.62839547347
16367,165669.5118924358
6317,270741.3419198942
10878,286009.1979088791
3895,157118.7445065085
8041,137819.7830219852
13428,457473.78513251356
14669,148249.71254318743
1006,179841.83208307595
12271,179311.38492330737
3764,363658.5725133561
7675,174870.48136755673
11709,283221.4924114265
8629,146938.12225720903
1105,287492.8284819636
6096,183732.3029707179
11727,213052.01461305178
5157,180397.64673960448
3679,133699.77564261822
1755,137142.35963314763
7391,196424.04194613526
7425,102669.58829552891
6882,436963.11161292595
10752,364627.6741507384
7472,225779.20340417503
14320,102053.77790447274
9596,164112.9201903786
5317,215182.20276396582
7378,87881.24947314666
16154,183065.1451570102
3464,193010.9451950891
4197,241679.44879717915
9477,117017.03195297597
12705,198095.99701034473
16426,204818.4601247386
1481,67286.26401406106
9946,257127.9510992688
12025,227058.7516897358
5341,226473.91826915304
9923,281320.64473126625
7953,221736.48544357248
11066,271497.9974784982
5037,172567.7306014151
2509,182556.0616129434
4937,322852.75693116867
12089,389126.6059416293
4964,179739.0656762432
16500,280669.8874263762
4625,148546.2542934237
2363,421333.56713150087
8148,201841.07245882179
3804,185545.45816871512
4584,163115.1743930774
10694,107185.42277591866
2691,172590.6270978658
2983,219950.06359364282
13563,338443.28620720183
10747,215330.05004342253
1721,204325.40086299187
